What is your level in R?,What topics would you like to see covered at R-Ladies Chicago?,"If you are interested in giving a tutorial or presentation, what subject would you like to present on? (Be sure you provided your name and email above.)",Where is good for you to meet?,What weekday times work best for you? [5-7pm],What weekday times work best for you? [5:30-7:30pm],What weekday times work best for you? [6-8pm],What weekday times work best for you? [6:30-8:30pm],What weekday times work best for you? [7-9pm],What weekday times work best for you? [7:30-9:30pm],What weekend times work best for you? [AM],What weekend times work best for you? [PM],Would you prefer to meet on the weekends?,Do you have any suggestions on where we could meet?,Any other comments?
Intermediate,"Tutorials on packages (e.g. tidyverse), Tutorials on other aspects of R (e.g. Markdown, Shiny), Jobs for R programmers, General networking, Mentoring",,"Downtown/Loop, Anywhere off the blue line :)",,"Tuesday, Wednesday, Thursday","Tuesday, Wednesday, Thursday",,,,Saturday,,No. I'd prefer evening on weekdays.,,Thanks for organizing this!
Beginner,"Tutorials on Introduction to R, Tutorials on packages (e.g. tidyverse), Tutorials on other aspects of R (e.g. Markdown, Shiny), Tutorials on programs (e.g. RStudio), Academic research presentations using R (e.g. non-R conference presentations), General networking",,"Downtown/Loop, Hyde Park",,"Tuesday, Wednesday, Thursday","Tuesday, Wednesday, Thursday","Tuesday, Wednesday, Thursday","Tuesday, Wednesday, Thursday","Monday, Wednesday",Saturday,Sunday,No. I'd prefer evening on weekdays.,,Isn't Chi HackNight on Tuesdays? I feel like you're potentially losing people by having the meeting on Tuesday too.
Beginner,"Tutorials on Introduction to R, Tutorials on packages (e.g. tidyverse), Tutorials on other aspects of R (e.g. Markdown, Shiny), Tutorials on programs (e.g. RStudio)",no,Hyde Park,,,,,,"Monday, Tuesday, Wednesday, Thursday",Sunday,Saturday,No. I'd prefer evening on weekdays.,,
Beginner,"Tutorials on Introduction to R, Tutorials on packages (e.g. tidyverse), Tutorials on other aspects of R (e.g. Markdown, Shiny), Tutorials on programs (e.g. RStudio), General networking",,Hyde Park,,,"Monday, Tuesday, Wednesday, Thursday","Monday, Tuesday, Wednesday, Thursday","Monday, Tuesday, Wednesday, Thursday",,"Saturday, Sunday",,No. I'd prefer evening on weekdays.,,
Intermediate beginner,"Tutorials on Introduction to R, Tutorials on packages (e.g. tidyverse), Tutorials on other aspects of R (e.g. Markdown, Shiny), Tutorials on programs (e.g. RStudio), General networking, Mentoring",,"Downtown/Loop, Hyde Park",,"Tuesday, Wednesday, Thursday","Tuesday, Wednesday, Thursday",,,,,"Saturday, Sunday",No. I'd prefer evening on weekdays.,,
Beginner,"Tutorials on Introduction to R, Tutorials on packages (e.g. tidyverse), Tutorials on programs (e.g. RStudio), General networking, Mentoring",,Downtown/Loop,"Monday, Tuesday, Wednesday, Friday","Monday, Tuesday, Wednesday, Friday","Monday, Tuesday, Wednesday, Friday","Monday, Tuesday, Wednesday","Monday, Tuesday, Wednesday","Monday, Tuesday, Wednesday",Sunday,"Saturday, Sunday",No. I'd prefer evening on weekdays.,,
Intermediate,"Tutorials on other aspects of R (e.g. Markdown, Shiny), Academic research presentations using R (e.g. non-R conference presentations), General networking, Mentoring",Web scraping using rvest (Or How I calculated the most average sangria recipe),Downtown/Loop,"Monday, Tuesday, Wednesday, Thursday","Monday, Tuesday, Wednesday, Thursday","Monday, Tuesday, Wednesday, Thursday","Monday, Tuesday, Wednesday, Thursday",,,,,No. I'd prefer evening on weekdays.,,
Intermediate advanced,General networking,,Downtown/Loop,"Monday, Wednesday, Thursday, Friday","Monday, Wednesday, Thursday, Friday","Monday, Wednesday, Thursday, Friday","Monday, Wednesday, Thursday, Friday","Monday, Wednesday, Thursday, Friday","Monday, Wednesday, Thursday, Friday",,"Saturday, Sunday",,"I can get space on UIC Health Science Campus. I like meetings in West Loop, Loop area. Maybe a bar with a meeting room?",I'm looking forward to this event!
Beginner,"Tutorials on Introduction to R, Tutorials on packages (e.g. tidyverse), Tutorials on programs (e.g. RStudio), Mentoring",,"Downtown/Loop, Hyde Park","Monday, Tuesday, Wednesday, Thursday","Monday, Tuesday, Wednesday, Thursday",,,,,,,No. I'd prefer evening on weekdays.,,
Beginner,"Tutorials on Introduction to R, Academic research presentations using R (e.g. non-R conference presentations), General networking","My expertise is in communications: Presentations, editing, writing, audience engagement, survey development, interviews","Downtown/Loop, Hyde Park","Monday, Tuesday, Wednesday, Thursday, Friday","Monday, Tuesday, Wednesday, Thursday, Friday",,,,,"Saturday, Sunday",Saturday,,,I can't make the 8/23 meeting and look forward to the next one. :)
Beginner,"Tutorials on Introduction to R, Tutorials on packages (e.g. tidyverse), Tutorials on other aspects of R (e.g. Markdown, Shiny), Tutorials on programs (e.g. RStudio), Mentoring",,"Downtown/Loop, West Suburbs too","Tuesday, Wednesday, Thursday","Tuesday, Wednesday, Thursday","Tuesday, Wednesday, Thursday",,,,"Saturday, Sunday","Saturday, Sunday",No. I'd prefer evening on weekdays.,,
Beginner,"Tutorials on Introduction to R, Tutorials on packages (e.g. tidyverse), Tutorials on other aspects of R (e.g. Markdown, Shiny), Tutorials on programs (e.g. RStudio), Academic research presentations using R (e.g. non-R conference presentations), Jobs for R programmers, General networking, Mentoring",,Downtown/Loop,,"Monday, Wednesday, Thursday","Monday, Wednesday, Thursday","Monday, Wednesday, Thursday",,,Saturday,,No. I'd prefer evening on weekdays.,,
Beginner,"Tutorials on Introduction to R, General networking, Mentoring",,Hyde Park,,"Monday, Tuesday, Wednesday",,,,,Saturday,,Yes! Weekends are much better for me.,,
Beginner,"Tutorials on Introduction to R, Tutorials on packages (e.g. tidyverse), Tutorials on other aspects of R (e.g. Markdown, Shiny), Tutorials on programs (e.g. RStudio), Academic research presentations using R (e.g. non-R conference presentations), Jobs for R programmers, General networking, Mentoring",,Downtown/Loop,"Tuesday, Thursday",,,,,,,"Saturday, Sunday",No. I'd prefer evening on weekdays.,North side of Chicago,N/A
Intermediate beginner,"Tutorials on packages (e.g. tidyverse), Tutorials on other aspects of R (e.g. Markdown, Shiny), General networking",,,,"Monday, Tuesday, Wednesday, Thursday",,,,,Saturday,Sunday,Yes! Weekends are much better for me.,,Traveling from 2 hours downstate so locations easy to get to would be nice. Or close to train (Amtrak/metra) since I may travel that way (others too maybe?). Thanks for organizing this!
Intermediate beginner,"Tutorials on packages (e.g. tidyverse), Tutorials on other aspects of R (e.g. Markdown, Shiny), Tutorials on programs (e.g. RStudio), Academic research presentations using R (e.g. non-R conference presentations), General networking, Mentoring",,Downtown/Loop,,,"Monday, Tuesday, Wednesday, Thursday","Monday, Tuesday, Wednesday, Thursday","Monday, Tuesday, Wednesday, Thursday",,,,No. I'd prefer evening on weekdays.,"Various tech companies who are willing to host, get inspired from other meetups (i.e. ChiPy)",Thanks to organizers and volunteers for your effort
Intermediate advanced,"Tutorials on packages (e.g. tidyverse), Tutorials on other aspects of R (e.g. Markdown, Shiny), Tutorials on programs (e.g. RStudio), Academic research presentations using R (e.g. non-R conference presentations), Jobs for R programmers, General networking, Mentoring","Can speak on reproducible research in corporate setting, teaching R to nontechnical people, writing packages (have for work but not on CRAN), applying tidyverse philosophy in new ways, tutorial on RMarkdown, or tutorial on many stats/ML topics",Downtown/Loop,"Monday, Tuesday, Wednesday, Thursday",,,,,,,,No. I'd prefer evening on weekdays.,"Through my job, I might be able to help get space in a tech incubator in the Civic Opera House building",
Advanced,,Rcpp; Packaging; Testing;,Downtown/Loop,,Friday,"Monday, Tuesday, Wednesday, Thursday, Friday","Monday, Tuesday, Wednesday, Thursday, Friday",,,"Saturday, Sunday","Saturday, Sunday",No. I'd prefer evening on weekdays.,,Happy to help from the side of the R Foundation and the ISC / R Consortium. Thanks for getting this going here in Chicago.
Beginner,Tutorials on Introduction to R,,Downtown/Loop,,,,,,,,,,,
Beginner,"Tutorials on Introduction to R, Tutorials on packages (e.g. tidyverse), Tutorials on other aspects of R (e.g. Markdown, Shiny), Tutorials on programs (e.g. RStudio), Academic research presentations using R (e.g. non-R conference presentations), Jobs for R programmers, General networking, Mentoring",,"Downtown/Loop, Hyde Park",,,,,,,Saturday,"Saturday, Sunday",,,
Beginner,"Tutorials on packages (e.g. tidyverse), Tutorials on other aspects of R (e.g. Markdown, Shiny)",,Downtown/Loop,,,"Tuesday, Wednesday",,,,Saturday,,No. I'd prefer evening on weekdays.,,
Beginner,"Tutorials on Introduction to R, Tutorials on packages (e.g. tidyverse), Tutorials on other aspects of R (e.g. Markdown, Shiny), Tutorials on programs (e.g. RStudio)",,,,,Wednesday,,,,,"Saturday, Sunday",No. I'd prefer evening on weekdays.,,
Intermediate beginner,"Tutorials on Introduction to R, Tutorials on packages (e.g. tidyverse), Tutorials on other aspects of R (e.g. Markdown, Shiny), Tutorials on programs (e.g. RStudio), Jobs for R programmers, General networking, Mentoring",,Downtown/Loop,,,"Monday, Tuesday, Wednesday, Thursday, Friday","Monday, Tuesday, Wednesday, Thursday, Friday","Monday, Tuesday, Wednesday, Thursday, Friday","Monday, Tuesday, Wednesday, Thursday, Friday","Saturday, Sunday","Saturday, Sunday",No. I'd prefer evening on weekdays.,,
Intermediate,"Tutorials on packages (e.g. tidyverse), Tutorials on other aspects of R (e.g. Markdown, Shiny), Tutorials on programs (e.g. RStudio), General networking",,Downtown/Loop,,,"Tuesday, Wednesday, Thursday","Tuesday, Wednesday, Thursday","Tuesday, Wednesday, Thursday",,,Saturday,No. I'd prefer evening on weekdays.,,
Beginner,"Tutorials on Introduction to R, Tutorials on packages (e.g. tidyverse), Tutorials on programs (e.g. RStudio), Academic research presentations using R (e.g. non-R conference presentations)",,Downtown/Loop,"Monday, Wednesday","Monday, Wednesday","Monday, Wednesday","Monday, Wednesday",,,Saturday,,No. I'd prefer evening on weekdays.,,
Intermediate,"Tutorials on packages (e.g. tidyverse), Tutorials on other aspects of R (e.g. Markdown, Shiny)",,Downtown/Loop,,,,"Monday, Tuesday, Thursday, Friday",,,,"Saturday, Sunday",No. I'd prefer evening on weekdays.,,
Beginner,"Tutorials on Introduction to R, Tutorials on programs (e.g. RStudio), General networking, Mentoring",,Downtown/Loop,,,"Wednesday, Thursday, Friday","Wednesday, Thursday, Friday",,,Sunday,Saturday,No. I'd prefer evening on weekdays.,,
Intermediate,,"I'm a guy, but I've done a lot of work recently on Mass Spectrometry based analysis in R and creating an open source tool for interactive analysis of large-scale bacterial proteo/chemotaxonomy analysis of mass spec data in SHINY for bacterial drug discovery",,,,,,,,,,,,
Intermediate beginner,"Tutorials on Introduction to R, Tutorials on other aspects of R (e.g. Markdown, Shiny), Academic research presentations using R (e.g. non-R conference presentations)",,Hyde Park,"Monday, Wednesday",,,,,,,,No. I'd prefer evening on weekdays.,,
Intermediate,"Tutorials on Introduction to R, Tutorials on packages (e.g. tidyverse), Academic research presentations using R (e.g. non-R conference presentations), Jobs for R programmers, General networking, Mentoring",,Downtown/Loop,,,,"Monday, Tuesday, Wednesday, Thursday, Friday","Monday, Tuesday, Wednesday, Thursday, Friday","Monday, Tuesday, Wednesday, Thursday, Friday","Saturday, Sunday",Sunday,No. I'd prefer evening on weekdays.,,
Intermediate beginner,"Tutorials on packages (e.g. tidyverse), Tutorials on other aspects of R (e.g. Markdown, Shiny), General networking, Mentoring",,"Downtown/Loop, Hyde Park","Monday, Tuesday, Wednesday, Friday","Monday, Tuesday, Wednesday, Friday","Monday, Tuesday, Wednesday, Friday","Monday, Tuesday, Wednesday, Friday","Monday, Tuesday, Wednesday, Friday","Monday, Tuesday, Wednesday, Friday",Sunday,"Saturday, Sunday",No. I'd prefer evening on weekdays.,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
